source,url,title,publish_date,sentence,lang,cleaned_sentence,sentiment_score,sentiment_label
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"Getting my balance back when I do not travel the full route takes just a few seconds.""",en,getting my balance back when i do not travel the full route takes just a few seconds,0.0,neutral
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"For Florence Uwamahoro, a university student, the new system is simple and easy to use.",en,for florence uwamahoro a university student the new system is simple and easy to use,0.4404,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"""This is a step forward for public transport.",en,this is a step forward for public transport,0.0,neutral
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,It feels like we are catching up with more advanced systems worldwide.,en,it feels like we are catching up with more advanced systems worldwide,0.5849,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"It took me one ride to get used to it, and I think it is much better than the old system.",en,it took me one ride to get used to it and i think it is much better than the old system,0.4404,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"It is organised and transparent,"" Uwamahoro said.",en,it is organised and transparent uwamahoro said,0.0,neutral
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"""The system is simple to use, it is the usual tap that we are used to and everything is calculated automatically.",en,the system is simple to use it is the usual tap that we are used to and everything is calculated automatically,0.0,neutral
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"It is a good system which is fair and simple to use,"" Innocent Mugabe, a commuter from Nyabugogo, said.",en,it is a good system which is fair and simple to use innocent mugabe a commuter from nyabugogo said,0.765,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"The new system was also welcomed by drivers, who would previously have to help passengers tap the card.",en,the new system was also welcomed by drivers who would previously have to help passengers tap the card,0.6249,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"However, one driver said it works better when each passenger has their own card.",en,however one driver said it works better when each passenger has their own card,0.4404,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"Close Sign up for free AllAfrica Newsletters Get the latest in African news delivered straight to your inbox Top Headlines Rwanda Transport By submitting above, you agree to our privacy policy.",en,close sign up for free allafrica newsletters get the latest in african news delivered straight to your inbox top headlines rwanda transport by submitting above you agree to our privacy policy,0.8176,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,Success!,en,success,0.5719,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,Almost finished... We need to confirm your email address.,en,almost finished we need to confirm your email address,0.0,neutral
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"To complete the process, please follow the instructions in the email we just sent you.",en,to complete the process please follow the instructions in the email we just sent you,0.3182,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,Error!,en,error,-0.4019,negative
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,Error!,en,error,-0.4019,negative
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,There was a problem processing your submission.,en,there was a problem processing your submission,-0.4019,negative
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,Please try again later.,en,please try again later,0.3182,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"""If a passenger didn't have a card, they relied on the driver to assist.",en,if a passenger didnt have a card they relied on the driver to assist,0.0,neutral
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"However, with the new system, this is not allowed, and it can lead to conflicts when passengers expect us to refund their balance, especially when we don't have cash on hand,"" said Jean Claude Nuwayo, a driver for Kigali Bus Service.",en,however with the new system this is not allowed and it can lead to conflicts when passengers expect us to refund their balance especially when we dont have cash on hand said jean claude nuwayo a driver for kigali bus service,0.1531,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"""The only way it works is when everyone has their own card and they tap it on the meter when they get on the bus and when they get off.",en,the only way it works is when everyone has their own card and they tap it on the meter when they get on the bus and when they get off,0.0,neutral
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"Not everyone has a card today, and that is a big challenge.",en,not everyone has a card today and that is a big challenge,0.0772,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"More cards need to be made available so every commuter can use the system properly,"" he said.",en,more cards need to be made available so every commuter can use the system properly he said,0.0,neutral
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"According to Beata Mukangabo, Head of Transport Regulations at RURA, this new fare system is expected to transform public transport in Kigali, by offering fairer pricing for passengers while streamlining operations for transport service providers.",en,according to beata mukangabo head of transport regulations at rura this new fare system is expected to transform public transport in kigali by offering fairer pricing for passengers while streamlining operations for transport service providers,0.0,neutral
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"""With this new system, passengers will no longer pay for the entire route but only for the kilometers they travel.",en,with this new system passengers will no longer pay for the entire route but only for the kilometers they travel,-0.2023,negative
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"This change ensures fairness and affordability for all,"" Mukangabo said.",en,this change ensures fairness and affordability for all mukangabo said,0.0,neutral
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"""We noticed a couple of minor issues, like some meters were not refunding the unused amount because the system was not fully installed.",en,we noticed a couple of minor issues like some meters were not refunding the unused amount because the system was not fully installed,0.3612,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"However, we immediately resolved that, and the rest of the implementation went smoothly.",en,however we immediately resolved that and the rest of the implementation went smoothly,0.1779,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"The feedback from passengers has been overwhelmingly positive as they were eager to experience this new system,"" she said.",en,the feedback from passengers has been overwhelmingly positive as they were eager to experience this new system she said,0.6808,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,Mukangabo also said that RURA chose to begin with some of the longest routes in Kigali to identify potential issues and solve them more effectively.,en,mukangabo also said that rura chose to begin with some of the longest routes in kigali to identify potential issues and solve them more effectively,0.6115,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"""Now that the system has launched well, we are looking forward to deploying it citywide.",en,now that the system has launched well we are looking forward to deploying it citywide,0.3818,positive
web,https://allafrica.com/stories/202412050450.html,Rwanda: Commuters All Smiles As Kigali Launches Distance-Based Fare System,2024-12-05 12:12:05+00:00,"We will inform the public as we expand to other routes,"" said Mukangabo.",en,we will inform the public as we expand to other routes said mukangabo,0.3182,positive
web,https://www.newtimes.co.rw/article/22302/news/infrastructure/public-transport-kigali-to-pilot-distance-based-payment-system?utm_source=chatgpt.com,Public transport: Kigali to pilot distance-based payment system,,Passengers travelling by public buses in Kigali will pay fare based on the distance travelled under a new system set to be piloted this month.,en,passengers travelling by public buses in kigali will pay fare based on the distance travelled under a new system set to be piloted this month,-0.1027,negative
web,https://www.newtimes.co.rw/article/22302/news/infrastructure/public-transport-kigali-to-pilot-distance-based-payment-system?utm_source=chatgpt.com,Public transport: Kigali to pilot distance-based payment system,,File,en,file,0.0,neutral
web,https://www.newtimes.co.rw/article/22410/news/rwanda/with-new-payment-system-commuters-in-kigali-may-spend-less-on-public-transport,"With new payment system, commuters in Kigali may spend less on public transport",,"Commuters board a public bus during the launch of the distance-based fare system in Kigali on Wednesday, December 4. photos by Craish Bahizi",en,commuters board a public bus during the launch of the distancebased fare system in kigali on wednesday december photos by craish bahizi,0.0,neutral
web,https://rwandainspirer.com/advocates-urge-pay-per-distance-model-amid-public-transport-fare-hike/?utm_source=chatgpt.com,Advocates Urge ‘Pay-Per-Distance’ Model Amid Public Transport Fare Hike – Rwanda inspirer,,By The Inspirer.,en,by the inspirer,0.4939,positive
web,https://rwandainspirer.com/advocates-urge-pay-per-distance-model-amid-public-transport-fare-hike/?utm_source=chatgpt.com,Advocates Urge ‘Pay-Per-Distance’ Model Amid Public Transport Fare Hike – Rwanda inspirer,,"As the implementation of new public transport fares approaches on March 16, calls for a ‘distance-based transport fare system’ are gaining momentum among commuters and activists.",en,as the implementation of new public transport fares approaches on march calls for a distancebased transport fare system are gaining momentum among commuters and activists,0.4215,positive
web,https://rwandainspirer.com/advocates-urge-pay-per-distance-model-amid-public-transport-fare-hike/?utm_source=chatgpt.com,Advocates Urge ‘Pay-Per-Distance’ Model Amid Public Transport Fare Hike – Rwanda inspirer,,The move aims to alleviate the financial strain caused by the recent 40% to 50% increase in fares following the government’s decision to eliminate subsidies.,en,the move aims to alleviate the financial strain caused by the recent to increase in fares following the governments decision to eliminate subsidies,0.2732,positive
web,https://rwandainspirer.com/advocates-urge-pay-per-distance-model-amid-public-transport-fare-hike/?utm_source=chatgpt.com,Advocates Urge ‘Pay-Per-Distance’ Model Amid Public Transport Fare Hike – Rwanda inspirer,,"Evariste Murwanashyaka, an activist from Umbrella of Human Rights Organisations in Rwanda (CLADHO), expressed concerns over the burden placed on citizens due to the fare hike.",en,evariste murwanashyaka an activist from umbrella of human rights organisations in rwanda cladho expressed concerns over the burden placed on citizens due to the fare hike,-0.4404,negative
web,https://rwandainspirer.com/advocates-urge-pay-per-distance-model-amid-public-transport-fare-hike/?utm_source=chatgpt.com,Advocates Urge ‘Pay-Per-Distance’ Model Amid Public Transport Fare Hike – Rwanda inspirer,,Murwanashyaka emphasized the importance of involving citizens in decision-making processes and consulting civil society organizations to address issues that impact the community.,en,murwanashyaka emphasized the importance of involving citizens in decisionmaking processes and consulting civil society organizations to address issues that impact the community,0.3612,positive
web,https://rwandainspirer.com/advocates-urge-pay-per-distance-model-amid-public-transport-fare-hike/?utm_source=chatgpt.com,Advocates Urge ‘Pay-Per-Distance’ Model Amid Public Transport Fare Hike – Rwanda inspirer,,"While passengers welcomed the addition of new public transport lines to improve accessibility, they stressed the need for a fairer fare system based on the distance traveled.",en,while passengers welcomed the addition of new public transport lines to improve accessibility they stressed the need for a fairer fare system based on the distance traveled,0.4404,positive
web,https://rwandainspirer.com/advocates-urge-pay-per-distance-model-amid-public-transport-fare-hike/?utm_source=chatgpt.com,Advocates Urge ‘Pay-Per-Distance’ Model Amid Public Transport Fare Hike – Rwanda inspirer,,Residents highlighted instances of overcharging and emphasized the importance of regulating prices to ensure fairness for commuters.,en,residents highlighted instances of overcharging and emphasized the importance of regulating prices to ensure fairness for commuters,0.6249,positive
web,https://rwandainspirer.com/advocates-urge-pay-per-distance-model-amid-public-transport-fare-hike/?utm_source=chatgpt.com,Advocates Urge ‘Pay-Per-Distance’ Model Amid Public Transport Fare Hike – Rwanda inspirer,,"In response to these concerns, RURA stated that routes not specified in the released list can still be used by public transport operators, with prices determined by market conditions.",en,in response to these concerns rura stated that routes not specified in the released list can still be used by public transport operators with prices determined by market conditions,0.34,positive
web,https://rwandainspirer.com/advocates-urge-pay-per-distance-model-amid-public-transport-fare-hike/?utm_source=chatgpt.com,Advocates Urge ‘Pay-Per-Distance’ Model Amid Public Transport Fare Hike – Rwanda inspirer,,"However, the City of Kigali and the infrastructure ministry are exploring the feasibility of implementing a distance-based fare system to address the public’s concerns.",en,however the city of kigali and the infrastructure ministry are exploring the feasibility of implementing a distancebased fare system to address the publics concerns,0.0,neutral
web,https://rwandainspirer.com/advocates-urge-pay-per-distance-model-amid-public-transport-fare-hike/?utm_source=chatgpt.com,Advocates Urge ‘Pay-Per-Distance’ Model Amid Public Transport Fare Hike – Rwanda inspirer,,"Minister of Infrastructure, Jimmy Gasore, assured that studies and tests are ongoing to develop a payment system based on the distance traveled by passengers.",en,minister of infrastructure jimmy gasore assured that studies and tests are ongoing to develop a payment system based on the distance traveled by passengers,0.3612,positive
web,https://rwandainspirer.com/advocates-urge-pay-per-distance-model-amid-public-transport-fare-hike/?utm_source=chatgpt.com,Advocates Urge ‘Pay-Per-Distance’ Model Amid Public Transport Fare Hike – Rwanda inspirer,,"Once completed, this system aims to provide a fairer and more equitable solution for public transport users across the country.",en,once completed this system aims to provide a fairer and more equitable solution for public transport users across the country,0.3774,positive
web,https://rwandainspirer.com/advocates-urge-pay-per-distance-model-amid-public-transport-fare-hike/?utm_source=chatgpt.com,Advocates Urge ‘Pay-Per-Distance’ Model Amid Public Transport Fare Hike – Rwanda inspirer,,theinspirerpublications@gmail.com,en,theinspirerpublicationsgmailcom,0.0,neutral
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,Public transport users and activists have requested the government to fast-track the implementation of a 'distance-based transport fare system' instead of charging for the entire journey to alleviate the cost burden.,en,public transport users and activists have requested the government to fasttrack the implementation of a distancebased transport fare system instead of charging for the entire journey to alleviate the cost burden,-0.4404,negative
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"While the new public transport fares will take effect on March 16, a distance-based transport fare system will not be implemented.",en,while the new public transport fares will take effect on march a distancebased transport fare system will not be implemented,0.0,neutral
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"ALSO READ: Public transport fares to increase after govt scraps subsidies

The call to charge public transport fares based on the distance or kilometres used by each passenger follows the government's move to eliminate subsidies, leading to a price hike of 40 per cent to 50 per cent.",en,also read public transport fares to increase after govt scraps subsidies the call to charge public transport fares based on the distance or kilometres used by each passenger follows the governments move to eliminate subsidies leading to a price hike of per cent to per cent,0.3182,positive
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"ALSO READ: Govt to scrap subsidies in public transport

""We are happy with the decision to buy many buses which is addressing the woes of commuters who were wasting time in long queues seeking public transport services.",en,also read govt to scrap subsidies in public transport we are happy with the decision to buy many buses which is addressing the woes of commuters who were wasting time in long queues seeking public transport services,-0.2263,negative
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"However, we are not happy with the increase in public transport fares because they are a burden for many citizens considering the rising cost of living.",en,however we are not happy with the increase in public transport fares because they are a burden for many citizens considering the rising cost of living,-0.5571,negative
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"Therefore, charging public transport fare should be based on a certain distance each passenger uses to alleviate the burden,"" Evariste Murwanashyaka, an activist from Umbrella of Human Rights Organisations in Rwanda (CLADHO) told The New Times.",en,therefore charging public transport fare should be based on a certain distance each passenger uses to alleviate the burden evariste murwanashyaka an activist from umbrella of human rights organisations in rwanda cladho told the new times,-0.2023,negative
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"ALSO READ: 100 new buses start operations in Kigali

Meanwhile, he noted that before scrapping subsidies and increasing public transport fares, government institutions ""should have involved citizens in the decision-making process, allowing them to contribute to decisions that may have an impact on their lives.""",en,also read new buses start operations in kigali meanwhile he noted that before scrapping subsidies and increasing public transport fares government institutions should have involved citizens in the decisionmaking process allowing them to contribute to decisions that may have an impact on their lives,0.0,neutral
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"""They should also have consulted civil society organisations that advocate for citizens because they have a lot to contribute to the decision-making process.",en,they should also have consulted civil society organisations that advocate for citizens because they have a lot to contribute to the decisionmaking process,0.0,neutral
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"This is because the decision will affect many citizens across the country,"" he said.",en,this is because the decision will affect many citizens across the country he said,0.0,neutral
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,Murwanashyaka said the charged transport fares will affect workers and passengers who need public transport daily.,en,murwanashyaka said the charged transport fares will affect workers and passengers who need public transport daily,-0.2023,negative
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"""An increase of Rwf150 per trip in Kigali is a lot of money.",en,an increase of rwf per trip in kigali is a lot of money,0.3182,positive
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,There should have been an increase of between Rwf20 and Rwf50 at least.,en,there should have been an increase of between rwf and rwf at least,0.3182,positive
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,A lot of money was spent on upcountry routes.,en,a lot of money was spent on upcountry routes,0.0,neutral
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,We hope that change can still be done to respond to citizens' needs.,en,we hope that change can still be done to respond to citizens needs,0.4404,positive
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"Before implementation, the government can still listen to public reactions,"" he noted.",en,before implementation the government can still listen to public reactions he noted,0.0,neutral
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"Passengers' mixed reactions

Despite the increase in public transport fares, passengers welcomed the decision to open new public transport lines which will improve access.",en,passengers mixed reactions despite the increase in public transport fares passengers welcomed the decision to open new public transport lines which will improve access,0.5168,positive
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"""There was no single bus to take passengers from Nyacyonga to Rutunga.",en,there was no single bus to take passengers from nyacyonga to rutunga,-0.296,negative
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"We had to spend between Rwf3,000 going and Rwf3,000 coming back which is a lot of money.",en,we had to spend between rwf going and rwf coming back which is a lot of money,0.0,neutral
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"We hope this will decrease,"" said Bonaventure Iradukunda, a resident of Gasabo District.",en,we hope this will decrease said bonaventure iradukunda a resident of gasabo district,0.4404,positive
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"Eric Maniragaba, a worker at the Special Economic Zone, said he used to spend Rwf2,000 from Gikondo and Rwf2,000 to return home in the evening.",en,eric maniragaba a worker at the special economic zone said he used to spend rwf from gikondo and rwf to return home in the evening,0.4019,positive
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"""I usually preferred to go by foot which is tiresome.",en,i usually preferred to go by foot which is tiresome,0.0,neutral
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"It is good news that there are lines to connect to the Special Economic Zone,"" he noted.",en,it is good news that there are lines to connect to the special economic zone he noted,0.6808,positive
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,Residents said there is a line from Remera-Mulindi-Gasogi but the road is poor.,en,residents said there is a line from remeramulindigasogi but the road is poor,-0.631,negative
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"""There is a need for a public transport line from Kimironko to Ndera,"" Alphonse Habumugisha said.",en,there is a need for a public transport line from kimironko to ndera alphonse habumugisha said,0.0,neutral
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"ALSO READ: Another bus company to serve Kigali routes

Although users welcome new transport lines, they insist on the need for a distance-based transport fare system.",en,also read another bus company to serve kigali routes although users welcome new transport lines they insist on the need for a distancebased transport fare system,0.4588,positive
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"""If a passenger comes from Kabuga via Sonatube to Nyabugogo, and alights from the bus when they reach the middle of the trip, they should not pay the same amount which is Rwf741 as someone who will reach the destination,"" commented Joseph Twizeyimana.",en,if a passenger comes from kabuga via sonatube to nyabugogo and alights from the bus when they reach the middle of the trip they should not pay the same amount which is rwf as someone who will reach the destination commented joseph twizeyimana,0.127,positive
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,He said the new public transport fares should start with a system to pay based on the distance gone.,en,he said the new public transport fares should start with a system to pay based on the distance gone,-0.1027,negative
web,https://allafrica.com/stories/202403140480.html?utm_source=chatgpt.com,Rwanda: Push for 'Pay-Per-Distance' As Public Transport Fares Rise,,"Pacifique Ishimwe added: ""It might be nice if these buses have a schedule.",en,pacifique ishimwe added it might be nice if these buses have a schedule,0.4215,positive
